,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
206,2,60,7,30,51,49,winner,yellow,0,,,,,,,,,,,,,
207,10,80,9,40,21,49,loser,green,1,,,,,,,,,,,,,
208,10,240,7,33,14,48,loser,blue,0,,,,,,,,,,,,,
209,3,820,4,25,24,48,loser,red,1,,,,,,,,,,,,,
210,5,240,5,23,15,48,loser,yellow,0,,,,,,,,,,,,,
211,7,160,9,46,53,48,winner,green,1,,,,,,,,,,,,,
212,7,360,2,19,-15,47,loser,blue,0,,,,,,,,,,,,,
213,3,180,3,16,10,47,loser,red,1,,,,,,,,,,,,,
214,1,140,8,35,53,47,winner,yellow,0,,,,,,,,,,,,,
215,6,260,5,27,20,47,loser,green,1,,,,,,,,,,,,,
216,6,80,2,14,-12,46,loser,blue,0,,,,,,,,,,,,,
217,5,80,7,50,42,46,loser,red,1,,,,,,,,,,,,,
218,3,360,1,22,-3,46,loser,yellow,0,,,,,,,,,,,,,
219,5,160,9,46,54,46,winner,green,1,,,,,,,,,,,,,
220,4,180,1,6,-15,45,loser,blue,0,,,,,,,,,,,,,
221,3,740,7,53,51,45,winner,red,1,,,,,,,,,,,,,
222,1,20,5,28,44,45,loser,yellow,0,,,,,,,,,,,,,
223,6,100,1,8,-21,45,loser,green,1,,,,,,,,,,,,,
224,4,240,4,16,11,44,loser,blue,0,,,,,,,,,,,,,
225,4,60,1,23,-7,44,loser,red,1,,,,,,,,,,,,,
226,2,100,7,34,53,44,winner,yellow,0,,,,,,,,,,,,,
227,5,140,3,18,1,44,loser,green,1,,,,,,,,,,,,,
228,7,360,5,21,8,43,loser,blue,0,,,,,,,,,,,,,
229,5,80,6,37,34,43,loser,red,1,,,,,,,,,,,,,
230,8,520,7,36,15,43,loser,yellow,0,,,,,,,,,,,,,
231,4,300,6,63,51,43,winner,green,1,,,,,,,,,,,,,
232,5,300,3,30,16,42,loser,blue,0,,,,,,,,,,,,,
233,4,700,3,49,10,42,loser,red,1,,,,,,,,,,,,,
234,7,640,8,71,50,42,winner,yellow,0,,,,,,,,,,,,,
235,6,580,8,52,45,42,loser,green,1,,,,,,,,,,,,,
236,3,40,6,26,30,41,loser,blue,0,,,,,,,,,,,,,
237,6,120,2,18,-6,41,loser,red,1,,,,,,,,,,,,,
238,6,200,8,56,50,41,winner,yellow,0,,,,,,,,,,,,,
239,4,80,3,19,10,41,loser,green,1,,,,,,,,,,,,,
240,1,160,7,28,53,40,winner,blue,0,,,,,,,,,,,,,
241,5,220,3,32,8,40,loser,red,1,,,,,,,,,,,,,
242,6,360,5,49,28,40,loser,yellow,0,,,,,,,,,,,,,
243,6,560,3,52,9,40,loser,green,1,,,,,,,,,,,,,
244,4,380,5,33,28,39,loser,blue,0,,,,,,,,,,,,,
245,7,960,2,44,3,39,loser,red,1,,,,,,,,,,,,,
246,2,680,7,52,51,39,winner,yellow,0,,,,,,,,,,,,,
247,5,260,3,25,8,39,loser,green,1,,,,,,,,,,,,,
248,7,360,6,32,11,38,loser,blue,0,,,,,,,,,,,,,
